pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG,,uselss
0,0,0,0,0,0,0,0
1825,1518,1825,1696,1825,1696,1,1518
3630,10131,1805,8970,3630,10666,2,8613
6448,27271,2818,17675,6448,28341,3,17140
8970,47879,2522,21321,8970,49662,4,20608
15054,72449,6084,25462,15054,75124,5,24570
18872,101712,3818,30333,18872,105457,6,29263
22296,132422,3424,31958,22296,137415,7,30710
24099,164182,1803,33187,24099,170602,8,31760
26624,196541,2525,33964,26624,204566,9,32359
28803,229304,2179,34546,28803,239112,10,32763
30231,262256,1428,34914,30231,274026,11,32952
36004,293270,5773,33154,36004,307180,12,31014
38793,328543,2789,37591,38793,344771,13,35273
41534,364550,2741,38504,41534,383275,14,36007
45163,397523,3629,35648,45163,418923,15,32973
50723,432538,5560,37868,50723,456791,16,35015
52899,469205,2176,39699,52899,496490,17,36667
54435,504292,1536,38297,54435,534787,18,35087
56082,534459,1647,33377,56082,568164,0,30167
57952,558600,1870,27351,57952,595515,0,24141
58225,580321,273,24931,58225,620446,0,21721
60132,599463,1907,22352,60132,642798,0,19142
63079,622883,2947,26630,63079,669428,0,23420
66267,650730,3188,31057,66267,700485,0,27847
68137,681374,1870,33854,68137,734339,0,30644
73219,712350,5082,34186,73219,768525,0,30976
76857,746261,3638,37121,76857,805646,0,33911
80066,782304,3209,39253,80066,844899,0,36043
83587,817208,3521,38114,83587,883013,0,34904
84677,852299,1090,38301,84677,921314,0,35091
87485,887466,2808,38377,87485,959691,0,35167
90357,922988,2872,38732,90357,998423,0,35522
93785,956406,3428,36628,93785,1035051,0,33418
97522,988010,3737,34814,97522,1069865,0,31604
99371,1021303,1849,36503,99371,1106368,0,33293
102138,1052487,2767,34394,102138,1140762,0,31184
111779,1083162,9641,33885,111779,1174647,0,30675
116893,1115363,5114,35411,116893,1210058,0,32201
118368,1152932,1475,40779,118368,1250837,0,37569
120437,1183726,2069,34004,120437,1284841,0,30794
122158,1209704,1721,29188,122158,1314029,0,25978
122941,1230465,783,23971,122941,1338000,0,20761
123949,1249920,1008,22665,123949,1360665,0,19455
127221,1269152,3272,22442,127221,1383107,0,19232
128997,1292544,1776,26602,128997,1409709,0,23392
131904,1321641,2907,32307,131904,1442016,0,29097
135058,1351592,3154,33161,135058,1475177,0,29951
140896,1382946,5838,34564,140896,1509741,0,31354
144958,1419911,4062,40175,144958,1549916,0,36965
147636,1455093,2678,38392,147636,1588308,0,35182
149435,1490446,1799,38563,149435,1626871,0,35353
151540,1525264,2105,38028,151540,1664899,0,34818
153142,1558843,1602,36789,153142,1701688,0,33579
154599,1591539,1457,35906,154599,1737594,0,32696
160859,1622611,6260,34282,160859,1771876,0,31072
163646,1655061,2787,35660,163646,1807536,0,32450
167041,1687853,3395,36002,167041,1843538,0,32792
169664,1717887,2623,33244,169664,1876782,0,30034
177214,1748324,7550,33647,177214,1910429,0,30437
179072,1781358,1858,36244,179072,1946673,0,33034
180437,1815518,1365,37370,180437,1984043,0,34160
182851,1844306,2414,31998,182851,2016041,0,28788
183995,1868543,1144,27447,183995,2043488,0,24237
185244,1889670,1249,24337,185244,2067825,0,21127
188619,1907865,3375,21405,188619,2089230,0,18195
192466,1930571,3847,25916,192466,2115146,0,22706
197190,1957540,4724,30179,197190,2145325,0,26969
200553,1987703,3363,33373,200553,2178698,0,30163
207751,2018666,7198,34173,207751,2212871,0,30963
210647,2055189,2896,39733,210647,2252604,0,36523
213651,2093753,3004,41774,213651,2294378,0,38564
216056,2129106,2405,38563,216056,2332941,0,35353
217566,2164806,1510,38910,217566,2371851,0,35700
219725,2199674,2159,38078,219725,2409929,0,34868
221894,2234168,2169,37704,221894,2447633,0,34494
225598,2266418,3704,35460,225598,2483093,0,32250
229951,2298443,4353,35235,229951,2518328,0,32025
230754,2332473,803,37240,230754,2555568,0,34030
233257,2362825,2503,33562,233257,2589130,0,30352
238594,2391701,5337,32086,238594,2621216,0,28876
241497,2419301,2903,30810,241497,2652026,0,27600
242881,2451312,1384,35221,242881,2687247,0,32011
244835,2479392,1954,31290,244835,2718537,0,28080
247107,2504577,2272,28395,247107,2746932,0,25185
247976,2524082,869,22715,247976,2769647,0,19505
249423,2545613,1447,24741,249423,2794388,0,21531
252063,2566584,2640,24181,252063,2818569,0,20971
253458,2590650,1395,27276,253458,2845845,0,24066
257143,2619199,3685,31759,257143,2877604,0,28549
260581,2649301,3438,33312,260581,2910916,0,30102
267066,2680474,6485,34383,267066,2945299,0,31173
269806,2717304,2740,40040,269806,2985339,0,36830
272815,2752205,3009,38111,272815,3023450,0,34901
276915,2785920,4100,36925,276915,3060375,0,33715
278491,2820121,1576,37411,278491,3097786,0,34201
281182,2854534,2691,37623,281182,3135409,0,34413
282905,2889163,1723,37839,282905,3173248,0,34629
286864,2921533,3959,35580,286864,3208828,0,32370
290621,2954849,3757,36526,290621,3245354,0,33316
291770,2988280,1149,36641,291770,3281995,0,33431
294545,3016126,2775,31056,294545,3313051,0,27846
300802,3045163,6257,32247,300802,3345298,0,29037
304910,3076813,4108,34860,304910,3380158,0,31650
306587,3111924,1677,38321,306587,3418479,0,35111
308159,3141398,1572,32684,308159,3451163,0,29474
310851,3166242,2692,28054,310851,3479217,0,24844
311748,3190129,897,27097,311748,3506314,0,23887
313659,3212244,1911,25325,313659,3531639,0,22115
316300,3233351,2641,24317,316300,3555956,0,21107
318910,3258195,2610,28054,318910,3584010,0,24844
321091,3287263,2181,32278,321091,3616288,0,29068
324879,3317156,3788,33103,324879,3649391,0,29893