pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
987,2460,987,2460,987,2460
3690,14695,2703,12235,3690,14695
10639,40405,6949,25710,10639,40405
14180,74493,3541,34088,14180,74493
18277,117142,4097,42649,18277,117142
23216,163375,4939,46233,23216,163375
34057,213296,10841,49921,34057,213296
38976,263173,4919,49877,38976,263173
41667,307871,2691,44698,41667,307871
50999,349589,9332,41718,50999,349589
57595,386273,6596,36684,57595,386273
60911,424124,3316,37851,60911,424124
67881,460836,6970,36712,67881,460836
77169,495897,9288,35061,77169,495897
80253,527966,3084,32069,80253,527966
87304,560659,7051,32693,87304,560659
97216,592277,9912,31618,97216,592277
100723,622501,3507,30224,100723,622501
105614,652687,4891,30186,105614,652687
115246,682074,9632,29387,115246,682074
123447,712498,8201,30424,123447,712498
126764,742900,3317,30402,126764,742900
131448,776282,4684,33382,131448,776282
138187,808052,6739,31770,138187,808052
139177,840431,990,32379,139177,840431
141334,877274,2157,36843,141334,877274
146316,917276,4982,40002,146316,917276
151357,956693,5041,39417,151357,956693
154129,996893,2772,40200,154129,996893
160873,1042351,6744,45458,160873,1042351
168195,1088865,7322,46514,168195,1088865
176454,1132323,8259,43458,176454,1132323
177393,1173278,939,40955,177393,1173278
181697,1217819,4304,44541,181697,1217819
189245,1258269,7548,40450,189245,1258269
190206,1297878,961,39609,190206,1297878
195757,1339215,5551,41337,195757,1339215
200092,1380071,4335,40856,200092,1380071
200864,1421300,772,41229,200864,1421300
205315,1462841,4451,41541,205315,1462841
214136,1501087,8821,38246,214136,1501087
219591,1536104,5455,35017,219591,1536104
220719,1572831,1128,36727,220719,1572831
224649,1606703,3930,33872,224649,1606703
231407,1640551,6758,33848,231407,1640551
232642,1673335,1235,32784,232642,1673335
236715,1706099,4073,32764,236715,1706099
242672,1738160,5957,32061,242672,1738160
251057,1769589,8385,31429,251057,1769589
252277,1803473,1220,33884,252277,1803473
254226,1840564,1949,37091,254226,1840564
258297,1879002,4071,38438,258297,1879002
263075,1919575,4778,40573,263075,1919575
264261,1959388,1186,39813,264261,1959388
271943,2000670,7682,41282,271943,2000670
277243,2041651,5300,40981,277243,2041651
278491,2080166,1248,38515,278491,2080166
284775,2118132,6284,37966,284775,2118132
289963,2153002,5188,34870,289963,2153002
291686,2187368,1723,34366,291686,2187368
297588,2222429,5902,35061,297588,2222429
304485,2256632,6897,34203,304485,2256632
309585,2292719,5100,36087,309585,2292719
310372,2329643,787,36924,310372,2329643
313937,2366339,3565,36696,313937,2366339
321744,2404167,7807,37828,321744,2404167
328874,2441726,7130,37559,328874,2441726
329506,2478900,632,37174,329506,2478900
333255,2520001,3749,41101,333255,2520001
340532,2560367,7277,40366,340532,2560367
341272,2599699,740,39332,341272,2599699
342987,2639731,1715,40032,342987,2639731
352544,2680971,9557,41240,352544,2680971
353712,2724190,1168,43219,353712,2724190
355813,2768114,2101,43924,355813,2768114
365014,2809129,9201,41015,365014,2809129
365465,2845719,451,36590,365465,2845719
366367,2882780,902,37061,366367,2882780
370856,2922124,4489,39344,370856,2922124
380786,2959876,9930,37752,380786,2959876
387091,2993886,6305,34010,387091,2993886
388445,3026530,1354,32644,388445,3026530
393158,3064227,4713,37697,393158,3064227
400250,3102224,7092,37997,400250,3102224
407521,3137922,7271,35698,407521,3137922
408708,3173859,1187,35937,408708,3173859
410371,3210154,1663,36295,410371,3210154
417733,3246281,7362,36127,417733,3246281
418926,3282374,1193,36093,418926,3282374
421038,3318319,2112,35945,421038,3318319
429466,3353585,8428,35266,429466,3353585
430741,3389820,1275,36235,430741,3389820
432898,3424281,2157,34461,432898,3424281
441559,3457709,8661,33428,441559,3457709
442815,3489842,1256,32133,442815,3489842
444554,3521564,1739,31722,444554,3521564
446046,3521564,1492,0,446046,3521564