pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
3191,195,3191,195,3191,195
6160,8534,2969,8339,6160,8534
21142,23302,14982,14768,21142,23302
30299,45035,9157,21733,30299,45035
34548,71785,4249,26750,34548,71785
39604,105739,5056,33954,39604,105739
47438,143317,7834,37578,47438,143317
48957,185313,1519,41996,48957,185313
58416,232221,9459,46908,58416,232221
59978,283784,1562,51563,59978,283784
63459,337261,3481,53477,63459,337261
72786,389202,9327,51941,72786,389202
78822,440915,6036,51713,78822,440915
87221,490914,8399,49999,87221,490914
95132,539771,7911,48857,95132,539771
102609,582429,7477,42658,102609,582429
108574,621667,5965,39238,108574,621667
114963,657992,6389,36325,114963,657992
116687,689906,1724,31914,116687,689906
123774,719903,7087,29997,123774,719903
124980,750364,1206,30461,124980,750364
125529,782299,549,31935,125529,782299
132607,816008,7078,33709,132607,816008
136130,851156,3523,35148,136130,851156
147694,889984,11564,38828,147694,889984
156835,932026,9141,42042,156835,932026
162634,973818,5799,41792,162634,973818
170062,1015664,7428,41846,170062,1015664
176939,1057517,6877,41853,176939,1057517
178724,1096631,1785,39114,178724,1096631
186538,1131865,7814,35234,186538,1131865
189689,1168105,3151,36240,189689,1168105
196533,1206216,6844,38111,196533,1206216
197172,1245427,639,39211,197172,1245427
203346,1285379,6174,39952,203346,1285379
213462,1325457,10116,40078,213462,1325457
219017,1361399,5555,35942,219017,1361399
225853,1396884,6836,35485,225853,1396884
236158,1433825,10305,36941,236158,1433825
243084,1474489,6926,40664,243084,1474489
248235,1515071,5151,40582,248235,1515071
251365,1554777,3130,39706,251365,1554777
253070,1593770,1705,38993,253070,1593770
256708,1629952,3638,36182,256708,1629952
261155,1667788,4447,37836,261155,1667788
264625,1707855,3470,40067,264625,1707855
264625,1749091,0,41236,264625,1749091
275543,1789002,10918,39911,275543,1789002
281371,1828230,5828,39228,281371,1828230
291432,1866444,10061,38214,291432,1866444
301423,1903986,9991,37542,301423,1903986
307453,1943694,6030,39708,307453,1943694
311171,1987172,3718,43478,311171,1987172
313398,2030255,2227,43083,313398,2030255
316431,2070610,3033,40355,316431,2070610
326946,2108002,10515,37392,326946,2108002
329582,2143200,2636,35198,329582,2143200
336535,2177650,6953,34450,336535,2177650
339886,2214371,3351,36721,339886,2214371
347688,2252866,7802,38495,347688,2252866
354559,2292405,6871,39539,354559,2292405
362230,2332501,7671,40096,362230,2332501
369265,2375944,7035,43443,369265,2375944
369677,2419311,412,43367,369677,2419311
379549,2464781,9872,45470,379549,2464781
386070,2513957,6521,49176,386070,2513957
391102,2561704,5032,47747,391102,2561704
395768,2606510,4666,44806,395768,2606510
397694,2647859,1926,41349,397694,2647859
405339,2689040,7645,41181,405339,2689040
406813,2730615,1474,41575,406813,2730615
411590,2773608,4777,42993,411590,2773608
414773,2814801,3183,41193,414773,2814801
425185,2855240,10412,40439,425185,2855240
437625,2893305,12440,38065,437625,2893305
443653,2929575,6028,36270,443653,2929575
444787,2962316,1134,32741,444787,2962316
451342,2994000,6555,31684,451342,2994000
455585,3025217,4243,31217,455585,3025217
456000,3053826,415,28609,456000,3053826
468115,3079693,12115,25867,468115,3079693
473761,3105874,5646,26181,473761,3105874
481972,3136562,8211,30688,481972,3136562
485512,3170697,3540,34135,485512,3170697
495507,3206449,9995,35752,495507,3206449
498868,3244608,3361,38159,498868,3244608
510440,3286651,11572,42043,510440,3286651
513696,3330244,3256,43593,513696,3330244
523420,3375160,9724,44916,523420,3375160
527057,3422698,3637,47538,527057,3422698