pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
1798,1685,1798,1685,1798,1685
3320,8158,1522,6473,3320,8158
5618,22730,2298,14572,5618,22730
6981,48146,1363,25416,6981,48146
11754,79301,4773,31155,11754,79301
15782,117809,4028,38508,15782,117809
18160,159090,2378,41281,18160,159090
22512,201520,4352,42430,22512,201520
23908,241984,1396,40464,23908,241984
25736,279563,1828,37579,25736,279563
29942,315983,4206,36420,29942,315983
32332,348131,2390,32148,32332,348131
36235,379939,3903,31808,36235,379939
39039,413220,2804,33281,39039,413220
43673,445082,4634,31862,43673,445082
44573,474630,900,29548,44573,474630
46508,501526,1935,26896,46508,501526
50213,526555,3705,25029,50213,526555
52113,550445,1900,23890,52113,550445
53696,572807,1583,22362,53696,572807
54976,596595,1280,23788,54976,596595
55665,622542,689,25947,55665,622542
59310,653065,3645,30523,59310,653065
61229,689064,1919,35999,61229,689064
66065,732676,4836,43612,66065,732676
67539,778931,1474,46255,67539,778931
71438,823302,3899,44371,71438,823302
72061,861926,623,38624,72061,861926
72725,894101,664,32175,72725,894101
73688,921938,963,27837,73688,921938
77294,945499,3606,23561,77294,945499
80265,967499,2971,22000,80265,967499
83072,990257,2807,22758,83072,990257
87491,1014597,4419,24340,87491,1014597
90839,1042139,3348,27542,90839,1042139
91838,1069868,999,27729,91838,1069868
92612,1098602,774,28734,92612,1098602
94889,1129121,2277,30519,94889,1129121
97413,1161689,2524,32568,97413,1161689
99987,1195250,2574,33561,99987,1195250
103022,1227699,3035,32449,103022,1227699
103703,1260045,681,32346,103703,1260045
108109,1295844,4406,35799,108109,1295844
110717,1334421,2608,38577,110717,1334421
114040,1375361,3323,40940,114040,1375361
116870,1415527,2830,40166,116870,1415527
118123,1450835,1253,35308,118123,1450835
118704,1481350,581,30515,118704,1481350
120211,1505985,1507,24635,120211,1505985
121723,1527071,1512,21086,121723,1527071
126688,1549576,4965,22505,126688,1549576
129635,1570835,2947,21259,129635,1570835
130193,1592272,558,21437,130193,1592272
131217,1615322,1024,23050,131217,1615322
132757,1641732,1540,26410,132757,1641732
135041,1672840,2284,31108,135041,1672840
139881,1708618,4840,35778,139881,1708618
141867,1746973,1986,38355,141867,1746973
147563,1786996,5696,40023,147563,1786996
149339,1827716,1776,40720,149339,1827716
151729,1866715,2390,38999,151729,1866715
152184,1900241,455,33526,152184,1900241
154791,1930458,2607,30217,154791,1930458
157296,1959640,2505,29182,157296,1959640
158744,1990110,1448,30470,158744,1990110
163028,2021544,4284,31434,163028,2021544
166970,2052723,3942,31179,166970,2052723
167902,2082130,932,29407,167902,2082130
169290,2105100,1388,22970,169290,2105100
170125,2126539,835,21439,170125,2126539
171173,2147825,1048,21286,171173,2147825
172627,2172308,1454,24483,172627,2172308
174888,2199850,2261,27542,174888,2199850
179658,2233020,4770,33170,179658,2233020
181587,2272215,1929,39195,181587,2272215
187362,2315101,5775,42886,187362,2315101
189462,2359995,2100,44894,189462,2359995
193682,2404626,4220,44631,193682,2404626
193682,2445567,0,40941,193682,2445567
195587,2479318,1905,33751,195587,2479318
196786,2507317,1199,27999,196786,2507317
197323,2530297,537,22980,197323,2530297
200375,2550285,3052,19988,200375,2550285
202950,2571180,2575,20895,202950,2571180
208816,2597978,5866,26798,208816,2597978
211009,2627744,2193,29766,211009,2627744
212372,2657075,1363,29331,212372,2657075
215450,2686326,3078,29251,215450,2686326
216477,2712829,1027,26503,216477,2712829
217264,2738862,787,26033,217264,2738862
219452,2767624,2188,28762,219452,2767624
221414,2797512,1962,29888,221414,2797512
224500,2828163,3086,30651,224500,2828163
226282,2863854,1782,35691,226282,2863854
230291,2903148,4009,39294,230291,2903148
232750,2945189,2459,42041,232750,2945189
234821,2985491,2071,40302,234821,2985491
238342,3023369,3521,37878,238342,3023369
238818,3059285,476,35916,238818,3059285
240800,3086902,1982,27617,240800,3086902
242276,3112423,1476,25521,242276,3112423
242880,3133110,604,20687,242880,3133110
244873,3152162,1993,19052,244873,3152162
251515,3172642,6642,20480,251515,3172642
252259,3196276,744,23634,252259,3196276
253278,3223225,1019,26949,253278,3223225
254042,3251045,764,27820,254042,3251045
255222,3280386,1180,29341,255222,3280386
260891,3314564,5669,34178,260891,3314564
263840,3351089,2949,36525,263840,3351089
267745,3388066,3905,36977,267745,3388066
270643,3427737,2898,39671,270643,3427737
271705,3467268,1062,39531,271705,3467268
274278,3508010,2573,40742,274278,3508010
275530,3543630,1252,35620,275530,3543630
279139,3577285,3609,33655,279139,3577285
280366,3607369,1227,30084,280366,3607369