pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
14381,677,14381,677,14381,677
25087,9828,10706,9151,25087,9828
31945,25471,6858,15643,31945,25471
38158,46311,6213,20840,38158,46311
42068,69527,3910,23216,42068,69527
48436,95962,6368,26435,48436,95962
49849,124657,1413,28695,49849,124657
55705,154327,5856,29670,55705,154327
61319,186829,5614,32502,61319,186829
64413,221597,3094,34768,64413,221597
68504,258530,4091,36933,68504,258530
74055,297409,5551,38879,74055,297409
83429,336975,9374,39566,83429,336975
87657,376332,4228,39357,87657,376332
95422,414708,7765,38376,95422,414708
98847,452050,3425,37342,98847,452050
109581,485176,10734,33126,109581,485176
112396,514663,2815,29487,112396,514663
118901,543657,6505,28994,118901,543657
119194,571286,293,27629,119194,571286
124091,598664,4897,27378,124091,598664
127635,624692,3544,26028,127635,624692
131639,650781,4004,26089,131639,650781
136258,677210,4619,26429,136258,677210
145305,703740,9047,26530,145305,703740
160074,731820,14769,28080,160074,731820
170154,760618,10080,28798,170154,760618
172801,790987,2647,30369,172801,790987
178304,821902,5503,30915,178304,821902
183971,854295,5667,32393,183971,854295
189448,888321,5477,34026,189448,888321
193422,922330,3974,34009,193422,922330
198623,954926,5201,32596,198623,954926
201308,985728,2685,30802,201308,985728
207200,1016706,5892,30978,207200,1016706
213078,1048285,5878,31579,213078,1048285
219307,1079185,6229,30900,219307,1079185
224904,1109600,5597,30415,224904,1109600
227982,1141597,3078,31997,227982,1141597
238941,1173916,10959,32319,238941,1173916
244732,1205527,5791,31611,244732,1205527
251100,1235317,6368,29790,251100,1235317
258027,1266848,6927,31531,258027,1266848
261463,1300543,3436,33695,261463,1300543
264122,1332029,2659,31486,264122,1332029
267657,1359314,3535,27285,267657,1359314
271908,1384374,4251,25060,271908,1384374
278197,1409161,6289,24787,278197,1409161
293930,1434975,15733,25814,293930,1434975
303533,1460599,9603,25624,303533,1460599
310945,1488466,7412,27867,310945,1488466
314222,1516910,3277,28444,314222,1516910
317979,1545020,3757,28110,317979,1545020
320983,1573307,3004,28287,320983,1573307
325842,1600201,4859,26894,325842,1600201
330627,1628493,4785,28292,330627,1628493
333812,1659477,3185,30984,333812,1659477
339468,1690258,5656,30781,339468,1690258
343262,1721067,3794,30809,343262,1721067
355950,1753676,12688,32609,355950,1753676
363105,1786992,7155,33316,363105,1786992
368081,1821535,4976,34543,368081,1821535
373437,1857738,5356,36203,373437,1857738
383423,1894723,9986,36985,383423,1894723
389964,1930059,6541,35336,389964,1930059
394136,1965515,4172,35456,394136,1965515
402683,2001558,8547,36043,402683,2001558
402683,2036926,0,35368,402683,2036926
406059,2068926,3376,32000,406059,2068926
411105,2096845,5046,27919,411105,2096845
413238,2121641,2133,24796,413238,2121641
423364,2144288,10126,22647,423364,2144288
434185,2169654,10821,25366,434185,2169654
444560,2197229,10375,27575,444560,2197229
453031,2227819,8471,30590,453031,2227819
458361,2259102,5330,31283,458361,2259102
463944,2290469,5583,31367,463944,2290469
470107,2322698,6163,32229,470107,2322698
473784,2353327,3677,30629,473784,2353327
477416,2382727,3632,29400,477416,2382727
483440,2412453,6024,29726,483440,2412453
486815,2441392,3375,28939,486815,2441392
489855,2473081,3040,31689,489855,2473081
501148,2506955,11293,33874,501148,2506955
506047,2541049,4899,34094,506047,2541049
510583,2575898,4536,34849,510583,2575898
517967,2611518,7384,35620,517967,2611518
523188,2644290,5221,32772,523188,2644290
528890,2674040,5702,29750,528890,2674040
532942,2702825,4052,28785,532942,2702825
543099,2731752,10157,28927,543099,2731752
546122,2760702,3023,28950,546122,2760702
547964,2789221,1842,28519,547964,2789221
552977,2815929,5013,26708,552977,2815929
555004,2840555,2027,24626,555004,2840555
560725,2864496,5721,23941,560725,2864496
575279,2888745,14554,24249,575279,2888745
584069,2914705,8790,25960,584069,2914705
590256,2941799,6187,27094,590256,2941799
595599,2968036,5343,26237,595599,2968036
599454,2994396,3855,26360,599454,2994396
605154,3021892,5700,27496,605154,3021892
608810,3050538,3656,28646,608810,3050538
612470,3081053,3660,30515,612470,3081053
618637,3111761,6167,30708,618637,3111761
623220,3141084,4583,29323,623220,3141084
626641,3171891,3421,30807,626641,3171891
635637,3203665,8996,31774,635637,3203665
643599,3235259,7962,31594,643599,3235259