pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG,cDPS,time
0,0,0,0,0,0,0,0
16369,761,16369,960,16369,960,761,1
19432,9779,3063,9415,19432,10375,9018,2
26303,26564,6871,17381,26303,27756,16785,3
29431,47434,3128,21665,29431,49421,20870,4
40848,66541,11417,20100,40848,69521,19107,5
47217,90052,6369,24703,47217,94224,23511,6
54241,117401,7024,28740,54241,122964,27349,7
60514,146041,6273,30229,60514,153193,28640,8
62818,174766,2304,30513,62818,183706,28725,9
69189,203514,6371,30735,69189,214441,28748,10
73390,233927,4201,32598,73390,247039,30413,11
81123,263563,7733,32020,81123,279059,29636,12
91383,293162,10260,32182,91383,311241,29599,13
95594,327492,4211,37111,95594,348352,34330,14
99144,362681,3550,38169,99144,386521,35189,15
115100,397645,15956,38143,115100,424664,34964,16
118682,437830,3582,43562,118682,468226,40185,17
122203,478688,3521,44434,122203,512660,40858,18
125249,518284,3046,43172,125249,555832,39596,19
127829,549304,2580,34596,127829,590428,31020,20
128545,576029,716,30301,128545,620729,26725,21
134446,600459,5901,28006,134446,648735,24430,22
142000,623928,7554,27045,142000,675780,23469,23
151455,651153,9455,30801,151455,706581,27225,24
156271,679732,4816,32155,156271,738736,28579,25
169600,709151,13329,32995,169600,771731,29419,26
176609,739444,7009,33869,176609,805600,30293,27
185129,773224,8520,37356,185129,842956,33780,28
191021,806755,5892,37107,191021,880063,33531,29
193567,838739,2546,35560,193567,915623,31984,30
199167,870711,5600,35548,199167,951171,31972,31
203479,903065,4312,35930,203479,987101,32354,32
210978,934547,7499,35058,210978,1022159,31482,33
219052,965579,8074,34608,219052,1056767,31032,34
222549,1001395,3497,39392,222549,1096159,35816,35
225152,1037091,2603,39272,225152,1135431,35696,36
234658,1070670,9506,37155,234658,1172586,33579,37
240417,1106799,5759,39705,240417,1212291,36129,38
244958,1143225,4541,40002,244958,1252293,36426,39
248357,1178527,3399,38878,248357,1291171,35302,40
250437,1208728,2080,33777,250437,1324948,30201,41
251540,1236489,1103,31337,251540,1356285,27761,42
256931,1261480,5391,28567,256931,1384852,24991,43
264133,1285614,7202,27710,264133,1412562,24134,44
272516,1312360,8383,30322,272516,1442884,26746,45
277895,1340893,5379,32109,277895,1474993,28533,46
288906,1370299,11011,32982,288906,1507975,29406,47
298046,1400250,9140,33527,298046,1541502,29951,48
304405,1434729,6359,38055,304405,1579557,34479,49
311383,1469105,6978,37952,311383,1617509,34376,50
314188,1501302,2805,35773,314188,1653282,32197,51
320088,1533377,5900,35651,320088,1688933,32075,52
324242,1565765,4154,35964,324242,1724897,32388,53
329539,1597328,5297,35139,329539,1760036,31563,54
338110,1627999,8571,34247,338110,1794283,30671,55
340851,1663342,2741,38919,340851,1833202,35343,56
345877,1698976,5026,39210,345877,1872412,35634,57
356835,1732567,10958,37167,356835,1909579,33591,58
361181,1768872,4346,39881,361181,1949460,36305,59
365092,1806451,3911,41155,365092,1990615,37579,60
369801,1842723,4709,39848,369801,2030463,36272,61
371931,1873882,2130,34735,371931,2065198,31159,62
372652,1901695,721,31389,372652,2096587,27813,63
377978,1926742,5326,28623,377978,2125210,25047,64
386361,1950476,8383,27310,386361,2152520,23734,65
395238,1977257,8877,30357,395238,2182877,26781,66
400920,2006019,5682,32338,400920,2215215,28762,67
412907,2035536,11987,33093,412907,2248308,29517,68
421303,2066416,8396,34456,421303,2282764,30880,69
427478,2101757,6175,38917,427478,2321681,35341,70
435464,2137369,7986,39188,435464,2360869,35612,71
438029,2171228,2565,37435,438029,2398304,33859,72
444407,2204153,6378,36501,444407,2434805,32925,73
448742,2236550,4335,35973,448742,2470778,32397,74
454051,2268201,5309,35227,454051,2506005,31651,75
462550,2298758,8499,34133,462550,2540138,30557,76
464884,2333224,2334,38042,464884,2578180,34466,77
470071,2368533,5187,38885,470071,2617065,35309,78
485247,2402257,15176,37300,485247,2654365,33724,79
492298,2440714,7051,42033,492298,2696398,38457,80
496054,2481481,3756,44343,496054,2740741,40767,81
501120,2520850,5066,42945,501120,2783686,39369,82
503256,2552786,2136,35512,503256,2819198,31936,83
503969,2580482,713,31272,503969,2850470,27696,84
509145,2605645,5176,28739,509145,2879209,25163,85
517352,2629489,8207,27420,517352,2906629,23844,86
525648,2656483,8296,30570,525648,2937199,26994,87
531207,2685337,5559,32430,531207,2969629,28854,88
544649,2714815,13442,33054,544649,3002683,29478,89
550665,2745891,6016,34652,550665,3037335,31076,90
559108,2780624,8443,38309,559108,3075644,34733,91
564387,2815077,5279,38029,564387,3113673,34453,92
566909,2847489,2522,35988,566909,3149661,32412,93
573243,2879622,6334,35709,573243,3185370,32133,94
577731,2911954,4488,35908,577731,3221278,32332,95
584383,2943520,6652,35142,584383,3256420,31566,96
593001,2974605,8618,34661,593001,3291081,31085,97