pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
4111,4699,4111,4699,4111,4699
9850,16280,5739,11581,9850,16280
13245,31881,3395,15601,13245,31881
19452,52206,6207,20325,19452,52206
23815,76990,4363,24784,23815,76990
26691,104592,2876,27602,26691,104592
28645,135069,1954,30477,28645,135069
30137,166674,1492,31605,30137,166674
32735,200544,2598,33870,32735,200544
34896,234286,2161,33742,34896,234286
36359,267544,1463,33258,36359,267544
39738,300457,3379,32913,39738,300457
40867,334889,1129,34432,40867,334889
46383,365781,5516,30892,46383,365781
50168,396833,3785,31052,50168,396833
51555,428297,1387,31464,51555,428297
54698,457287,3143,28990,54698,457287
62354,488147,7656,30860,62354,488147
64431,520647,2077,32500,64431,520647
69713,553340,5282,32693,69713,553340
71555,584333,1842,30993,71555,584333
75041,615918,3486,31585,75041,615918
77694,646616,2653,30698,77694,646616
79559,676468,1865,29852,79559,676468
83334,705163,3775,28695,83334,705163
88045,734105,4711,28942,88045,734105
90391,764159,2346,30054,90391,764159
92705,790850,2314,26691,92705,790850
95174,814182,2469,23332,95174,814182
95901,837669,727,23487,95901,837669
98041,861441,2140,23772,98041,861441
105450,886704,7409,25263,105450,886704
106846,914744,1396,28040,106846,914744
108287,941133,1441,26389,108287,941133
109021,964333,734,23200,109021,964333
111334,986286,2313,21953,111334,986286
113927,1007073,2593,20787,113927,1007073
117673,1028541,3746,21468,117673,1028541
122074,1054137,4401,25596,122074,1054137
124942,1081601,2868,27464,124942,1081601
126371,1110055,1429,28454,126371,1110055
129049,1138321,2678,28266,129049,1138321
130655,1167839,1606,29518,130655,1167839
135241,1198358,4586,30519,135241,1198358
137531,1228710,2290,30352,137531,1228710
144794,1258775,7263,30065,144794,1258775
146753,1289360,1959,30585,146753,1289360
148593,1319492,1840,30132,148593,1319492
149490,1349032,897,29540,149490,1349032
156654,1378070,7164,29038,156654,1378070
159994,1408357,3340,30287,159994,1408357
162633,1439233,2639,30876,162633,1439233
162633,1468059,0,28826,162633,1468059
165527,1496515,2894,28456,165527,1496515
168104,1525805,2577,29290,168104,1525805
169202,1554406,1098,28601,169202,1554406
173274,1581660,4072,27254,173274,1581660
176469,1607400,3195,25740,176469,1607400
179370,1631507,2901,24107,179370,1631507
187078,1659142,7708,27635,187078,1659142
189188,1687508,2110,28366,189188,1687508
195451,1718459,6263,30951,195451,1718459
198229,1754957,2778,36498,198229,1754957
200924,1792733,2695,37776,200924,1792733
203218,1830812,2294,38079,203218,1830812
205457,1868958,2239,38146,205457,1868958
208565,1906369,3108,37411,208565,1906369
214754,1943819,6189,37450,214754,1943819
216632,1979776,1878,35957,216632,1979776
218601,2011873,1969,32097,218601,2011873
220587,2042224,1986,30351,220587,2042224
222708,2071003,2121,28779,222708,2071003
226600,2098219,3892,27216,226600,2098219
235161,2126493,8561,28274,235161,2126493
239427,2156381,4266,29888,239427,2156381
240974,2185793,1547,29412,240974,2185793
245111,2215222,4137,29429,245111,2215222
246618,2243357,1507,28135,246618,2243357
248060,2269855,1442,26498,248060,2269855
249950,2295363,1890,25508,249950,2295363
251345,2320178,1395,24815,251345,2320178
253729,2344057,2384,23879,253729,2344057
256088,2368599,2359,24542,256088,2368599
259425,2391995,3337,23396,259425,2391995
262423,2415340,2998,23345,262423,2415340
265583,2439817,3160,24477,265583,2439817
272749,2465619,7166,25802,272749,2465619
274578,2495433,1829,29814,274578,2495433
276817,2525980,2239,30547,276817,2525980
279593,2557110,2776,31130,279593,2557110
283639,2589447,4046,32337,283639,2589447
287958,2622888,4319,33441,287958,2622888
289732,2655618,1774,32730,289732,2655618
292822,2687303,3090,31685,292822,2687303
295016,2717864,2194,30561,295016,2717864
298264,2747645,3248,29781,298264,2747645
299515,2776556,1251,28911,299515,2776556
304494,2799842,4979,23286,304494,2799842
309413,2823195,4919,23353,309413,2823195
311380,2844597,1967,21402,311380,2844597
312045,2866768,665,22171,312045,2866768
316962,2891663,4917,24895,316962,2891663
318780,2916485,1818,24822,318780,2916485
321318,2943142,2538,26657,321318,2943142
323819,2969604,2501,26462,323819,2969604
326087,2997250,2268,27646,326087,2997250
329087,3024149,3000,26899,329087,3024149
332246,3050659,3159,26510,332246,3050659
335210,3079437,2964,28778,335210,3079437
339639,3110578,4429,31141,339639,3110578
344763,3143600,5124,33022,344763,3143600
347336,3179330,2573,35730,347336,3179330
351183,3216440,3847,37110,351183,3216440
353593,3255422,2410,38982,353593,3255422
354354,3292694,761,37272,354354,3292694
357391,3330028,3037,37334,357391,3330028
365550,3367235,8159,37207,365550,3367235
369199,3402082,3649,34847,369199,3402082
371518,3434942,2319,32860,371518,3434942
372806,3466307,1288,31365,372806,3466307
375607,3495351,2801,29044,375607,3495351
379205,3524461,3598,29110,379205,3524461
381897,3553624,2692,29163,381897,3553624