pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
36506,79,36506,79,36506,79
70055,275,33549,196,70055,275
70055,471,0,196,70055,471
154541,667,84486,196,154541,667
199167,863,44626,196,199167,863
244536,1059,45369,196,244536,1059
256068,1255,11532,196,256068,1255
309641,1451,53573,196,309641,1451
350699,1647,41058,196,350699,1647
388383,1843,37684,196,388383,1843
401421,1961,13038,118,401421,1961
469211,1961,67790,0,469211,1961
507974,1961,38763,0,507974,1961
534422,1961,26448,0,534422,1961
590010,1969,55588,8,590010,1969
619576,2165,29566,196,619576,2165
658616,2361,39040,196,658616,2361
724907,2557,66291,196,724907,2557
741790,2753,16883,196,741790,2753
768174,3061,26384,308,768174,3061
779058,3659,10884,598,779058,3659
869821,4485,90763,826,869821,4485
895584,5346,25763,861,895584,5346
923403,6052,27819,706,923403,6052
951233,7005,27830,953,951233,7005
1017725,7925,66492,920,1017725,7925
1040001,8789,22276,864,1040001,8789
1064920,9767,24919,978,1064920,9767
1064920,10955,0,1188,1064920,10955
1124219,12089,59299,1134,1124219,12089
1164107,13022,39888,933,1164107,13022
1202356,13685,38249,663,1202356,13685
1202356,14199,0,514,1202356,14199
1267930,14413,65574,214,1267930,14413
1305617,14413,37687,0,1305617,14413
1345099,14413,39482,0,1345099,14413
1403202,14413,58103,0,1403202,14413
1438478,14413,35276,0,1438478,14413
1482532,14413,44054,0,1482532,14413
1523098,14413,40566,0,1523098,14413
1584266,14413,61168,0,1584266,14413
1620084,14711,35818,298,1620084,14711
1651308,15083,31224,372,1651308,15083
1680753,15455,29445,372,1680753,15455
1733493,15874,52740,419,1733493,15874
1762533,16442,29040,568,1762533,16442
1802514,17010,39981,568,1802514,17010
1826285,17578,23771,568,1826285,17578
1901927,18347,75642,769,1901927,18347
1939024,19036,37097,689,1939024,19036
1962801,19651,23777,615,1962801,19651
2032451,20266,69650,615,2032451,20266
2057880,20881,25429,615,2057880,20881
2078848,21496,20968,615,2078848,21496
2108171,22282,29323,786,2108171,22282
2199668,23064,91497,782,2199668,23064
2230149,23645,30481,581,2230149,23645
2258677,23861,28528,216,2258677,23861
2339962,24305,81285,444,2339962,24305
2360551,24795,20589,490,2360551,24795
2401728,25159,41177,364,2401728,25159
2420150,25355,18422,196,2420150,25355
2492783,25653,72633,298,2492783,25653
2513331,26127,20548,474,2513331,26127
2542475,26491,29144,364,2542475,26491
2571056,26876,28581,385,2571056,26876
2647904,27546,76848,670,2647904,27546
2677643,28295,29739,749,2677643,28295
2701274,28846,23631,551,2701274,28846
2775613,29493,74339,647,2775613,29493
2814482,30250,38869,757,2814482,30250
2847182,30897,32700,647,2847182,30897
2869838,31294,22656,397,2869838,31294
2944259,31949,74421,655,2944259,31949
2994440,32619,50181,670,2994440,32619
3012798,33077,18358,458,3012798,33077
3044835,33375,32037,298,3044835,33375
3132182,33936,87347,561,3132182,33936
3189904,34402,57722,466,3189904,34402
3245773,34672,55869,270,3245773,34672
3274634,34868,28861,196,3274634,34868
3321853,35056,47219,188,3321853,35056
3353797,35123,31944,67,3353797,35123
3440576,35464,86779,341,3440576,35464
3469727,35828,29151,364,3469727,35828
3502593,36157,32866,329,3502593,36157
3564186,36710,61593,553,3564186,36710
3625044,37467,60858,757,3625044,37467
3668413,38051,43369,584,3668413,38051
3681881,38491,13468,440,3681881,38491
3790544,38884,108663,393,3790544,38884
3849993,39237,59449,353,3849993,39237
3878230,39433,28237,196,3878230,39433
3913282,39629,35052,196,3913282,39629