pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
37220,0,37220,0,37220,0
46418,0,9198,0,46418,0
97377,84,50959,84,97377,84
152369,648,54992,564,152369,648
194727,1727,42358,1079,194727,1727
246283,3228,51556,1501,246283,3228
283612,4979,37329,1751,283612,4979
308353,6565,24741,1586,308353,6565
352152,8147,43799,1582,352152,8147
370526,10206,18374,2059,370526,10206
388989,12065,18463,1859,388989,12065
409131,13455,20142,1390,409131,13455
440392,14253,31261,798,440392,14253
462926,15263,22534,1010,462926,15263
506841,16767,43915,1504,506841,16767
536209,18589,29368,1822,536209,18589
561267,20597,25058,2008,561267,20597
593504,22404,32237,1807,593504,22404
631589,24244,38085,1840,631589,24244
646019,25816,14430,1572,646019,25816
662656,26519,16637,703,662656,26519
692180,26837,29524,318,692180,26837
723052,27155,30872,318,723052,27155
758079,27341,35027,186,758079,27341
809380,27818,51301,477,809380,27818
843848,28754,34468,936,843848,28754
897615,30161,53767,1407,897615,30161
932934,31690,35319,1529,932934,31690
962075,33109,29141,1419,962075,33109
1003954,34555,41879,1446,1003954,34555
1021905,36449,17951,1894,1021905,36449
1047619,38168,25714,1719,1047619,38168
1060909,39532,13290,1364,1060909,39532
1093375,40280,32466,748,1093375,40280
1122699,41319,29324,1039,1122699,41319
1162849,42827,40150,1508,1162849,42827
1197143,44517,34294,1690,1197143,44517
1225082,46207,27939,1690,1225082,46207
1247419,47521,22337,1314,1247419,47521
1263710,48366,16291,845,1263710,48366
1273167,49072,9457,706,1273167,49072
1312078,49440,38911,368,1312078,49440
1340344,49702,28266,262,1340344,49702
1372710,49964,32366,262,1372710,49964
1406970,50303,34260,339,1406970,50303
1482367,51095,75397,792,1482367,51095
1511024,52419,28657,1324,1511024,52419
1565415,54106,54391,1687,1565415,54106
1596348,56097,30933,1991,1596348,56097
1614748,57907,18400,1810,1614748,57907
1661717,59538,46969,1631,1661717,59538
1674499,61504,12782,1966,1674499,61504
1700262,63427,25763,1923,1700262,63427
1718955,64800,18693,1373,1718955,64800
1723034,65746,4079,946,1723034,65746
1775021,66582,51987,836,1775021,66582
1819984,68035,44963,1453,1819984,68035
1848814,69794,28830,1759,1848814,69794
1874600,71802,25786,2008,1874600,71802
1905182,73821,30582,2019,1905182,73821
1944359,75743,39177,1922,1944359,75743
1984195,76955,39836,1212,1984195,76955
2021799,77548,37604,593,2021799,77548
2058191,77866,36392,318,2058191,77866
2070197,78184,12006,318,2070197,78184
2110636,78433,40439,249,2110636,78433
2171549,78534,60913,101,2171549,78534
2218909,79282,47360,748,2218909,79282
2284324,80376,65415,1094,2284324,80376
2323390,81977,39066,1601,2323390,81977
2365687,83388,42297,1411,2365687,83388
2388109,84811,22422,1423,2388109,84811
2445859,86435,57750,1624,2445859,86435
2466813,88306,20954,1871,2466813,88306
2496303,89780,29490,1474,2496303,89780
2502896,90946,6593,1166,2502896,90946
2567044,91691,64148,745,2567044,91691
2621953,92998,54909,1307,2621953,92998
2661927,94696,39974,1698,2661927,94696
2684957,96386,23030,1690,2684957,96386
2696438,98042,11481,1656,2696438,98042
2735030,99098,38592,1056,2735030,99098
2772688,99689,37658,591,2772688,99689
2819904,100090,47216,401,2819904,100090
2820588,100289,684,199,2820588,100289
2869801,100551,49213,262,2869801,100551
2920988,100813,51187,262,2920988,100813
2946874,101075,25886,262,2946874,101075
2989563,101435,42689,360,2989563,101435
3072483,102248,82920,813,3072483,102248
3106970,103572,34487,1324,3106970,103572
3180373,105276,73403,1704,3180373,105276
3209002,107284,28629,2008,3209002,107284
3238543,109130,29541,1846,3238543,109130
3288909,110786,50366,1656,3288909,110786
3311970,112849,23061,2063,3311970,112849
3334635,114747,22665,1898,3334635,114747
3356962,116128,22327,1381,3356962,116128
3361505,116939,4543,811,3361505,116939
3427016,117873,65511,934,3427016,117873
3482904,119335,55888,1462,3482904,119335
3518852,121101,35948,1766,3518852,121101
3553637,123109,34785,2008,3553637,123109
3593814,124923,40177,1814,3593814,124923
3640693,126680,46879,1757,3640693,126680
3678470,128304,37777,1624,3678470,128304
3728026,129175,49556,871,3728026,129175
3729195,129493,1169,318,3729195,129493
3784620,129811,55425,318,3784620,129811