pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
49798,0,49798,0,49798,0
100069,300,50271,300,100069,300
185157,1902,85088,1602,185157,1902
244789,4806,59632,2904,244789,4806
265207,8144,20418,3338,265207,8144
300741,10881,35534,2737,300741,10881
344527,13700,43786,2819,344527,13700
371614,16786,27087,3086,371614,16786
394490,19574,22876,2788,394490,19574
420954,22531,26464,2957,420954,22531
438822,25342,17868,2811,438822,25342
483082,28566,44260,3224,483082,28566
517913,31942,34831,3376,517913,31942
579597,35485,61684,3543,579597,35485
654339,39646,74742,4161,654339,39646
713973,43957,59634,4311,713973,43957
745943,48057,31970,4100,745943,48057
760257,51421,14314,3364,760257,51421
788536,53726,28279,2305,788536,53726
813607,55861,25071,2135,813607,55861
825024,57477,11417,1616,825024,57477
842940,58814,17916,1337,842940,58814
854731,59604,11791,790,854731,59604
899802,60021,45071,417,899802,60021
930665,60789,30863,768,930665,60789
992721,61340,62056,551,992721,61340
1071635,63710,78914,2370,1071635,63710
1085339,66864,13704,3154,1085339,66864
1114683,69885,29344,3021,1114683,69885
1152942,73089,38259,3204,1152942,73089
1180412,75646,27470,2557,1180412,75646
1199824,77917,19412,2271,1199824,77917
1215229,80161,15405,2244,1215229,80161
1247378,82214,32149,2053,1247378,82214
1288153,84167,40775,1953,1288153,84167
1339148,86120,50995,1953,1339148,86120
1397529,88373,58381,2253,1397529,88373
1475033,90259,77504,1886,1475033,90259
1502289,92996,27256,2737,1502289,92996
1529304,95867,27015,2871,1529304,95867
1567390,98311,38086,2444,1567390,98311
1591651,100533,24261,2222,1591651,100533
1612333,102070,20682,1537,1612333,102070
1632616,103458,20283,1388,1632616,103458
1648083,105010,15467,1552,1648083,105010
1677748,106739,29665,1729,1677748,106739
1718700,108764,40952,2025,1718700,108764
1768774,110955,50074,2191,1768774,110955
1848892,113132,80118,2177,1848892,113132
1866540,116542,17648,3410,1866540,116542
1899749,119777,33209,3235,1899749,119777
1937156,124015,37407,4238,1937156,124015
1962348,128302,25192,4287,1962348,128302
1985055,131909,22707,3607,1985055,131909
2000623,134944,15568,3035,2000623,134944
2021889,136776,21266,1832,2021889,136776
2060786,138695,38897,1919,2060786,138695
2105594,140981,44808,2286,2105594,140981
2158345,143301,52751,2320,2158345,143301
2223644,145287,65299,1986,2223644,145287
2293151,147106,69507,1819,2293151,147106
2324861,148658,31710,1552,2324861,148658
2355014,150093,30153,1435,2355014,150093
2386635,151534,31621,1441,2386635,151534
2399071,153574,12436,2040,2399071,153574
2418270,155247,19199,1673,2418270,155247
2442215,156607,23945,1360,2442215,156607
2471625,157258,29410,651,2471625,157258
2508052,157675,36427,417,2508052,157675
2541065,158159,33013,484,2541065,158159
2618393,158793,77328,634,2618393,158793
2684910,160497,66517,1704,2684910,160497
2703899,163000,18989,2503,2703899,163000
2738210,165437,34311,2437,2738210,165437
2772394,167615,34184,2178,2772394,167615
2811265,170131,38871,2516,2811265,170131
2830115,173055,18850,2924,2830115,173055
2852445,175992,22330,2937,2852445,175992
2874691,178780,22246,2788,2874691,178780
2914978,181317,40287,2537,2914978,181317
2964621,183587,49643,2270,2964621,183587
3025711,185740,61090,2153,3025711,185740
3119866,187609,94155,1869,3119866,187609
3142742,189545,22876,1936,3142742,189545
3179442,190880,36700,1335,3179442,190880
3210116,191915,30674,1035,3210116,191915
3226128,192935,16012,1020,3226128,192935
3251104,193794,24976,859,3251104,193794
3263210,195303,12106,1509,3263210,195303
3293988,197105,30778,1802,3293988,197105
3323505,198774,29517,1669,3323505,198774
3358803,200438,35298,1664,3358803,200438
3413152,201475,54349,1037,3413152,201475
3478426,202990,65274,1515,3478426,202990
3503564,205589,25138,2599,3503564,205589
3524052,208234,20488,2645,3524052,208234
3557577,210967,33525,2733,3557577,210967
3589681,214455,32104,3488,3589681,214455
3606410,217657,16729,3202,3606410,217657
3634262,221009,27852,3352,3634262,221009
3649340,224796,15078,3787,3649340,224796
3690628,229698,41288,4902,3690628,229698
3727921,229698,37293,0,3727921,229698